Duplicate Type,Count,Sample Values
Duplicate Order IDs,15443,403-4367956-2849158 | 404-2262140-4696366 | 408-4069830-3819562 | 405-5257740-5301158 | 403-0104882-7373900 | 406-8961316-8137943 | 407-3742007-3242711 | 407-4936046-5852304 | 406-6180074-2350757 | 407-3847456-6656309
Duplicate Rows (All Columns),0,None
Duplicate SKUs,6302,JNE3797-KR-L | JNE3797-KR-M | JNE3797-KR-S | JNE3405-KR-L | J0230-SKD-M | JNE3797-KR-XL | J0230-SKD-S | JNE3405-KR-S | JNE3797-KR-XS | JNE3797-KR-XXL
Duplicate Customer IDs,10030,C3F7CF99AE | C5DAA4A0E9 | C02FAD01EC | C2D6FA4E2F | C959B53494 | C39CCFDB75 | CB8FA48CDB | CE95CEA66A | C20A000F8A | CCD414C6AD
