campaign_name,Revenue,Net_Profit,Orders,Total_Campaign_Cost,Total_Discount_Cost,Attributed_Revenue,Avg_ROI,Attribution_Cost,Total_Marketing_Spend,Net_Margin_Pct,Revenue_Per_INR_Spent
Amazon_PLCC_Financing,21067951.0,-2595870.72,32348,3608085.06,1264077.06,8427180.4,2.240163966860393,2344008.0,4872162.12,-12.321419961533042,4.324148187417047
Seasonal_Promotion,32520484.0,-2646497.71,47474,7531440.04,1951229.04,13008193.6,1.6793522559716898,5580211.0,9482669.08,-8.13794072068546,3.4294652408138235
Organic,25004243.3,3080550.21,49153,0.0,0.0,0.0,1.0,0.0,0.0,12.320109723136472,
