Category,Revenue,Net_Profit,Orders,Return_Rate,Contribution_Margin,Avg_Margin_Pct,Net_Margin_Pct
Top,5347792.3,197418.15,10622,0.13318489926567503,243.62667011862175,3.208474863490868,3.691582225435345
Blouse,458408.18,34554.65,926,0.09809935205183586,238.78444924406048,6.741889848812095,7.537965400181122
Ethnic Dress,791217.66,12403.039999999999,1159,0.12490077653149266,285.92644521138914,0.5414581535806731,1.5675888730795011
Saree,123933.76,425.77,164,0.08225609756097561,283.02,0.48091463414634156,0.34354642350881637
Dupatta,915.0,-147.81,3,0.06,149.5,-16.15,-16.154098360655738
Bottom,150667.98,-14778.07,440,0.1108409090909091,141.75213636363637,-8.682,-9.808368042101579
Western Dress,11216072.69,-461056.99,15500,0.18189290322580645,313.2455058064516,-3.5136567741935485,-4.110681187106322
kurta,21299546.7,-909226.95,49877,0.12673396555526595,184.2675301241053,-3.900113078172304,-4.268761973230163
Set,39204124.03,-1021410.01,50284,0.15573283748309602,317.6349467027285,-2.70680097048763,-2.6053636837246787
