,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,cv
Amount,128975.0,609.364,313.347,0.0,413.0,583.0,771.0,5584.0,0.443,1.896,51.422
net_profit,128975.0,-16.762,123.77,-2560.66,-70.01,-33.67,50.3,1271.81,-3.482,28.953,-738.419
profit_margin_pct,128975.0,-2.698,18.687,-140.99,-10.14,-2.01,10.95,33.6,-2.751,14.055,-692.72
estimated_clv,128975.0,410956.667,612642.834,0.0,5778.5,82755.0,589521.24,2166527.79,1.537,1.094,149.077
campaign_roi,128975.0,1.561,0.665,0.0,1.0,1.358,1.987,4.802,0.806,0.058,42.58
return_probability,128975.0,0.145,0.114,0.01,0.11,0.13,0.15,1.0,6.773,47.916,78.928
inventory_turnover,128875.0,23.561,3.464,0.0,23.91,24.33,24.53,28.39,-3.6,14.378,14.704
shipping_cost,128975.0,26.801,7.865,8.25,19.25,26.46,32.67,261.36,1.122,17.024,29.346
