Category,Revenue,Net_Profit,Orders,Net_Margin_Pct
Top,5347792.3,197418.15,10622,3.691582225435345
Blouse,458408.18,34554.65,926,7.537965400181122
Ethnic Dress,791217.66,12403.039999999999,1159,1.5675888730795011
Saree,123933.76,425.77,164,0.34354642350881637
Dupatta,915.0,-147.81,3,-16.154098360655738
Bottom,150667.98,-14778.07,440,-9.808368042101579
Western Dress,11216072.69,-461056.99,15500,-4.110681187106322
kurta,21299546.7,-909226.95,49877,-4.268761973230163
Set,39204124.03,-1021410.01,50284,-2.6053636837246787
